Broad Discipline 	College/School** 	Major	Admit GPA Range	Admit Rate	Enroll GPA Range	Yield Rate	Admits	Applicants	Enrolls
Agriculture & Natural Resources	Agric & Environ Sciences	ANIMAL SCIENCE & MANAGEMENT	3.06 - 3.33	0.333333333	3.06 - 3.33	1	5	15	5
Agriculture & Natural Resources	Agric & Environ Sciences	ANIMAL SCIENCES	3.19 - 3.63	0.591093117	3.19 - 3.58	0.684931507	146	247	100
Agriculture & Natural Resources	Agric & Environ Sciences	ECOLOGICAL MANAGEMENT AND RESTORATION	3.52 - 3.79	0.6	masked	0.5	6	10	3
Agriculture & Natural Resources	Agric & Environ Sciences	ENVIRON POLICY ANALYSIS & PLANNING	3.24 - 3.64	0.671428571	3.21 - 3.55	0.382978723	47	70	18
Agriculture & Natural Resources	Agric & Environ Sciences	ENVIRONMENTAL HORTICULTURE & URBAN FORESTRY	3.03 - 3.38	0.5	3.01 - 3.24	0.454545455	11	22	5
Agriculture & Natural Resources	Agric & Environ Sciences	ENVIRONMENTAL SCIENCE AND MANAGEMENT	3.12 - 3.57	0.625	3.03 - 3.44	0.5	80	128	40
Agriculture & Natural Resources	Agric & Environ Sciences	FOOD SCIENCE	3.14 - 3.71	0.603773585	3.03 - 3.64	0.65625	32	53	21
Agriculture & Natural Resources	Agric & Environ Sciences	INTERNATIONAL AGRICULTURAL DEVELOPMENT	3.01 - 3.19	0.583333333	masked	0.571428571	7	12	4
Agriculture & Natural Resources	Agric & Environ Sciences	PLANT SCIENCES	3.30 - 3.60	0.518518519	3.42 - 3.71	0.642857143	14	27	9
Agriculture & Natural Resources	Agric & Environ Sciences	SUSTAINABLE AGRICULTURE AND FOOD SYSTEMS	3.21 - 3.67	0.611111111	3.10 - 3.52	0.590909091	22	36	13
Agriculture & Natural Resources	Agric & Environ Sciences	SUSTAINABLE ENVIRONMENTAL DESIGN	3.35 - 3.61	0.705882353	3.36 - 3.62	0.5	24	34	12
Agriculture & Natural Resources	Agric & Environ Sciences	VITICULTURE & ENOLOGY	3.30 - 3.67	0.423076923	3.25 - 3.81	0.818181818	11	26	9
Agriculture & Natural Resources	Agric & Environ Sciences	"WILDLIFE, FISH & CONSERVATION BIOLOGY"	3.03 - 3.42	0.568627451	3.06 - 3.44	0.586206897	29	51	17
Architecture & Environ Design	Agric & Environ Sciences	COMMUNITY & REGIONAL DEVELOPMENT	3.29 - 3.64	0.735849057	3.22 - 3.63	0.41025641	39	53	16
