Broad Discipline 	College/School** 	Major	Admit GPA Range	Admit Rate	Enroll GPA Range	Yield Rate	Admits	Applicants	Enrolls
"Area, Ethn, Cultur & Gender Stu"	Humanities	ASIAN AMERICAN STUDIES	3.44 - 3.76	0.234042553	masked	0.363636364	11	47	4
"Area, Ethn, Cultur & Gender Stu"	Humanities	CHINESE STUDIES	3.33 - 3.88	0.574468085	3.22 - 3.82	0.259259259	27	47	7
"Area, Ethn, Cultur & Gender Stu"	Humanities	EAST ASIAN CULTURES	3.61 - 3.90	0.496124031	3.44 - 3.85	0.21875	64	129	14
"Area, Ethn, Cultur & Gender Stu"	Humanities	GENDER AND SEXUALITY STUDIES	3.32 - 3.74	0.52	3.23 - 3.33	0.192307692	26	50	5
Biological Sciences	Biological Sciences	BIOLOGICAL SCIENCES	3.37 - 3.81	0.389395667	3.30 - 3.69	0.307467057	683	1754	210
Business & Management	Administration	BUSINESS ADMINISTRATION	3.67 - 4.00	0.149665552	3.57 - 3.88	0.343575419	358	2392	123
Business & Management	Information & Computer Sci	BUSINESS INFORMATION MANAGEMENT	3.48 - 3.79	0.126984127	3.42 - 3.60	0.625	16	126	10
Business & Management	Social Sciences	BUSINESS ECONOMICS	3.63 - 3.90	0.465846995	3.54 - 3.83	0.35483871	341	732	121
"Communication, Journalism & Rel"	Humanities	LITERARY JOURNALISM	3.48 - 3.77	0.569620253	3.49 - 3.73	0.222222222	45	79	10
Computer & Information Sciences	Information & Computer Sci	COMPUTER GAME SCIENCE	3.46 - 3.78	0.144230769	3.45 - 3.80	0.766666667	30	208	23
Computer & Information Sciences	Information & Computer Sci	COMPUTER SCIENCE	3.56 - 3.85	0.258647393	3.53 - 3.77	0.578842315	501	1937	290
Computer & Information Sciences	Information & Computer Sci	INFORMATICS	3.43 - 3.66	0.22972973	3.41 - 3.66	0.882352941	17	74	15
Education	Biological Sciences	BIOLOGY/EDUCATION	3.42 - 3.84	0.191919192	3.40 - 3.53	0.315789474	19	99	6
Education	Education	EDUCATION SCIENCES	3.38 - 3.82	0.510989011	3.39 - 3.74	0.376344086	93	182	35
Engineering	Engineering	AEROSPACE ENGINEERING	3.38 - 3.78	0.406593407	3.31 - 3.61	0.283783784	74	182	21
