Broad Discipline 	College/School** 	Major	Admit GPA Range	Admit Rate	Enroll GPA Range	Yield Rate	Admits	Applicants	Enrolls
"Area, Ethn, Cultur & Gender Stu"	Not applicable	CHINESE STUDIES	3.54 - 3.92	0.461538462	3.12 - 3.70	0.222222222	36	78	8
"Area, Ethn, Cultur & Gender Stu"	Not applicable	ETHNIC STUDIES	3.25 - 3.66	0.4	masked	0.166666667	18	45	3
"Area, Ethn, Cultur & Gender Stu"	Not applicable	JAPANESE STUDIES	3.34 - 3.75	0.61038961	3.16 - 3.50	0.255319149	47	77	12
Biological Sciences	Not applicable	BIOENGINEERING - BIOINFORMATICS	3.37 - 3.64	0.538461538	masked	0.571428571	7	13	4
Biological Sciences	Not applicable	BIOLOGY	3.37 - 3.82	0.420722135	3.21 - 3.64	0.320895522	268	637	86
Biological Sciences	Not applicable	COMPUTER SCIENCE - BIOINFORMATICS	3.40 - 3.84	0.384615385	masked	0.8	5	13	4
Biological Sciences	Not applicable	"ECOLOGY, BEHAVIOR & EVOLUTION"	3.35 - 3.77	0.333333333	masked	0.181818182	22	66	4
Biological Sciences	Not applicable	HUMAN BIOLOGY	3.39 - 3.83	0.512621359	3.18 - 3.68	0.484848485	264	515	128
Biological Sciences	Not applicable	MARINE BIOLOGY	3.19 - 3.62	0.484126984	3.32 - 3.51	0.590163934	61	126	36
Biological Sciences	Not applicable	MICROBIOLOGY	3.44 - 3.87	0.452991453	3.44 - 3.73	0.358490566	53	117	19
Biological Sciences	Not applicable	MOLECULAR & CELL BIOLOGY	3.42 - 3.85	0.545787546	3.32 - 3.74	0.308724832	149	273	46
Biological Sciences	Not applicable	NEUROBIOLOGY	3.54 - 3.89	0.5	3.44 - 3.75	0.322222222	90	180	29
Business & Management	Not applicable	MANAGEMENT SCIENCE	3.57 - 3.93	0.487654321	3.39 - 3.76	0.341772152	79	162	27
"Communication, Journalism & Rel"	Not applicable	COMMUNICATION ARTS	3.36 - 3.85	0.534653465	3.18 - 3.76	0.28956229	594	1111	172
Computer & Information Sciences	Not applicable	COMPUTER SCIENCE	3.53 - 3.89	0.287014563	3.44 - 3.82	0.545454545	473	1648	258
Education	Not applicable	MATHEMATICS/SECONDARY EDUCATION	3.42 - 3.70	0.423076923	masked	0.363636364	11	26	4
Engineering	Not applicable	AEROSPACE ENGINEERING	3.38 - 3.79	0.310734463	3.33 - 3.69	0.6	55	177	33
